date,sh600026_daily,sh600115_daily,sh601186_daily,sh601766_daily,sh601919_daily,sh688009_daily,sh688015_daily,sh688033_daily,sh688510_daily,sh688569_daily,sz000008_daily,sz000088_daily,sz000089_daily,sz000099_daily,sz000429_daily,sz000507_daily,sz000520_daily,sz300011_daily
2023-04-21,23.89,7.23,15.13,9.15,19.37,7.29,25.57,19.04,16.0,42.28,63.47,43.07,54.06,29.76,32.98,31.39,23.18,57.3
2023-04-24,23.61,7.17,15.33,9.01,19.33,7.19,24.97,18.58,16.15,40.99,61.85,42.83,53.18,28.94,32.81,31.06,23.4,61.34
2023-04-25,23.21,7.07,15.12,9.06,19.18,7.46,23.58,18.76,15.74,43.55,60.51,43.15,52.74,28.59,32.72,31.0,22.97,59.41
2023-04-28,23.08,7.19,15.81,9.27,18.92,7.25,20.87,19.45,18.81,44.06,63.74,43.32,53.62,29.45,33.63,31.61,23.18,62.18
2023-05-08,22.08,6.96,16.64,9.34,19.21,6.92,20.26,18.68,19.06,44.08,67.23,45.02,54.35,31.63,37.01,32.72,23.62,65.21
2023-05-09,21.64,7.02,15.9,9.15,19.35,6.86,20.01,18.26,18.53,39.35,66.96,44.86,54.2,32.18,36.67,32.56,23.4,63.28
2023-05-10,21.32,6.87,15.46,8.89,19.09,6.6,20.14,19.07,18.31,39.76,66.43,44.45,53.25,31.63,35.54,32.61,23.18,60.08
2023-05-11,21.34,6.87,15.62,8.75,19.3,6.59,19.91,18.69,18.36,39.31,67.5,44.21,53.18,31.98,35.84,32.61,23.18,60.16
2023-05-12,20.96,6.81,14.6,8.59,19.13,6.48,19.7,18.14,18.03,37.42,66.43,44.37,53.03,31.79,36.28,32.56,22.97,57.3
2023-05-15,21.47,6.85,14.61,8.74,19.38,6.39,20.05,18.12,18.75,37.17,66.43,43.8,53.25,32.22,36.15,32.84,23.11,57.05
2023-05-17,21.27,6.78,14.05,8.7,18.79,6.35,20.14,17.97,19.31,38.63,65.89,43.07,52.66,33.0,35.84,32.45,23.04,59.15
2023-05-18,20.87,6.84,14.35,8.91,18.8,6.42,20.35,17.81,19.07,38.08,66.43,42.67,52.59,32.88,36.02,32.22,22.97,59.32
2023-05-19,20.73,6.87,13.97,8.71,18.92,6.39,20.45,17.8,19.15,37.54,65.62,41.86,52.37,32.37,35.32,31.89,22.75,58.9
2023-05-23,20.71,6.77,13.59,8.54,18.97,6.27,20.51,17.79,18.66,36.57,63.2,40.64,51.78,31.44,34.67,31.45,22.61,55.96
2023-05-24,20.39,6.58,13.04,8.36,18.55,6.12,20.65,17.95,18.71,37.7,62.39,40.15,50.68,31.05,34.28,31.06,22.39,56.29
2023-05-25,19.99,6.55,13.08,8.39,18.53,6.17,20.75,18.03,19.15,39.12,62.66,39.75,50.68,31.12,33.93,31.06,22.25,56.8
2023-05-26,20.02,6.55,12.95,8.42,18.7,6.23,20.77,17.35,19.24,38.53,62.12,39.91,50.76,31.05,33.93,31.17,22.11,56.54
2023-06-28,21.38,6.73,12.93,8.54,18.34,6.37,17.78,19.05,19.62,45.07,62.66,39.46,50.98,37.64,33.8,30.79,20.96,61.17
2023-06-29,21.34,6.55,12.95,8.69,18.24,6.44,18.54,19.1,20.03,44.3,63.2,39.37,50.68,37.75,33.72,30.79,20.96,61.26
2023-06-30,22.24,6.6,13.08,8.62,18.36,6.45,18.51,19.34,20.01,43.52,63.47,39.7,50.98,36.82,33.98,31.13,21.1,61.93
2023-07-03,24.19,6.98,13.58,8.77,18.57,6.63,18.42,19.09,20.25,44.74,63.74,39.95,52.15,37.36,33.76,31.24,21.39,61.51
2023-07-04,24.18,7.05,13.55,8.82,19.78,6.52,18.65,19.79,20.38,44.09,63.74,39.87,52.22,39.24,33.76,31.13,21.39,62.1
2023-07-05,23.59,6.98,13.56,8.83,19.84,6.53,18.34,19.85,20.17,44.86,64.01,39.95,52.15,38.3,33.59,31.07,21.25,61.76
2023-07-06,24.44,6.98,13.5,8.74,19.45,6.56,18.29,19.84,20.24,41.31,64.28,39.7,52.15,38.88,33.72,30.96,21.17,61.51
2023-07-07,24.7,6.98,13.63,8.79,19.55,6.65,18.07,19.48,19.73,41.3,64.01,40.11,52.3,40.29,33.8,31.07,21.17,61.42
2023-07-10,24.25,6.98,13.76,8.78,19.37,6.58,18.08,19.79,19.82,43.91,64.54,40.11,52.81,39.63,33.46,31.13,21.32,64.96
2023-07-11,23.95,7.05,13.72,8.81,19.28,6.57,18.24,19.59,20.21,44.03,63.2,40.27,52.59,37.72,33.37,31.24,21.39,64.37
2023-07-12,24.09,6.62,13.27,8.55,19.02,6.52,17.87,19.23,19.74,44.68,62.39,39.87,52.22,36.66,33.33,30.96,21.1,62.43
2023-07-13,24.76,6.56,13.59,8.75,19.06,6.54,18.12,19.3,19.53,44.65,62.66,40.03,52.15,36.86,33.41,31.24,21.25,62.18
2023-07-14,25.81,6.53,13.64,8.82,18.96,6.54,18.16,18.85,19.42,44.71,63.2,40.19,51.93,37.02,33.82,31.24,21.17,63.44
2023-07-17,25.67,6.52,13.66,8.87,18.89,6.58,18.13,18.91,19.24,46.07,62.66,40.19,52.22,37.05,34.23,31.24,21.03,61.0
2023-07-18,25.24,6.64,13.58,8.79,19.22,6.7,18.12,18.94,19.72,45.39,62.93,40.36,52.88,36.35,34.69,31.24,21.53,60.92
2023-07-19,25.78,6.53,13.59,8.73,19.45,6.72,18.02,18.47,19.48,45.69,62.66,40.36,52.74,36.39,34.42,31.47,21.46,59.49
2023-07-20,24.98,6.52,13.36,8.63,19.35,6.74,17.76,18.37,19.1,43.39,62.39,40.19,52.37,35.13,34.14,31.13,21.39,59.07
2023-07-21,24.92,6.52,13.2,8.58,19.35,6.72,17.69,18.37,19.12,43.41,62.66,40.44,53.03,35.05,34.37,31.24,21.39,59.07
2023-07-24,24.98,6.58,13.34,8.57,19.24,6.7,17.64,18.52,19.35,43.35,62.39,40.36,52.74,35.45,34.83,31.35,21.53,59.07
2023-07-25,25.48,6.69,13.75,8.73,19.33,6.82,18.08,18.83,19.39,45.32,63.47,40.85,53.1,35.72,34.55,31.69,21.89,60.16
2023-08-10,25.97,6.76,14.18,8.77,19.37,6.82,18.05,18.58,17.57,36.89,65.35,41.17,53.76,34.5,34.05,31.69,22.32,58.48
2023-08-11,25.01,6.59,13.76,8.62,18.98,6.73,17.78,18.13,17.28,37.16,64.28,40.85,53.03,33.56,33.59,31.13,22.04,56.96
2023-08-14,24.96,6.53,14.02,8.56,18.81,6.76,17.83,17.75,17.26,37.73,64.54,40.85,53.18,33.91,34.09,31.3,22.68,57.81
2023-08-15,24.52,6.44,13.94,8.63,18.89,6.8,17.71,17.52,17.25,38.3,64.81,41.01,52.81,33.44,34.37,31.52,22.25,57.3
2023-08-16,24.14,6.45,13.8,8.48,18.61,6.73,17.53,17.23,17.05,36.98,64.81,40.77,52.74,33.48,34.09,31.13,21.96,56.96
2023-08-17,24.55,6.44,13.98,8.55,18.67,6.83,17.94,17.54,17.96,37.75,65.35,41.01,53.32,33.95,34.55,31.3,22.32,57.81
2023-08-18,24.94,6.31,13.65,8.41,18.69,6.88,17.99,17.53,17.99,38.21,68.04,41.01,52.88,33.64,34.64,31.35,22.68,58.14
2023-08-21,23.73,6.09,13.62,8.3,18.26,6.7,17.67,17.28,17.45,38.18,66.43,40.68,51.27,33.4,35.06,31.3,22.39,58.73
2023-08-22,24.12,6.13,13.98,8.44,18.32,6.82,17.51,17.33,17.82,37.9,65.35,40.36,50.9,34.07,35.79,30.85,21.68,57.3
2023-08-23,23.4,6.05,13.52,8.34,18.22,6.78,16.81,16.95,17.4,36.49,63.74,40.27,50.02,33.09,35.75,30.51,21.17,55.62
2023-08-24,23.24,6.05,12.18,8.06,18.51,6.17,16.49,16.96,17.32,35.49,62.39,39.78,49.95,33.36,35.33,30.23,20.96,54.19
2023-08-25,23.04,5.99,12.06,8.12,18.34,6.04,16.04,16.56,16.97,34.94,62.39,40.27,50.32,31.44,35.38,30.23,20.89,53.6
2023-08-28,23.75,6.01,12.07,8.45,18.63,6.2,16.22,16.59,17.3,33.57,63.2,40.85,51.05,31.52,34.83,30.73,21.39,54.95
2023-08-29,24.25,6.08,12.23,8.36,18.63,6.41,17.61,17.39,17.85,35.55,64.28,40.77,51.27,32.58,36.07,30.85,21.46,56.38
2023-08-30,24.14,6.06,11.95,8.23,19.1,6.49,18.1,17.7,18.36,36.05,63.47,40.03,50.54,32.07,34.74,30.96,21.1,56.71
2023-08-31,23.56,6.02,12.0,8.12,19.14,6.42,17.89,17.74,18.09,37.13,63.47,40.27,49.8,31.87,34.87,30.51,20.82,56.12
2023-09-01,24.3,6.05,12.17,8.16,19.26,6.54,17.89,17.96,17.55,37.47,64.28,40.85,49.88,32.27,36.11,30.73,21.1,55.87
2023-09-04,24.84,6.1,12.38,8.4,19.43,6.51,18.14,17.99,17.67,39.07,66.43,41.5,50.83,32.74,36.16,31.3,21.39,57.55
2023-09-05,24.11,6.08,12.21,8.29,19.41,6.49,18.41,17.96,17.6,38.3,66.43,41.34,50.54,32.5,35.98,31.24,21.32,57.13
2023-09-06,22.4,5.99,12.15,8.22,19.22,6.37,18.52,17.82,18.36,38.61,65.62,40.93,50.68,32.54,35.52,31.07,21.32,57.89
2023-09-07,22.24,5.95,12.06,8.1,19.12,6.3,18.02,17.19,17.77,37.0,64.54,40.6,50.46,31.83,35.7,30.79,21.03,56.46
2023-09-08,22.28,5.91,12.02,8.07,19.0,6.21,18.15,17.18,18.15,36.26,64.81,40.44,50.32,32.11,36.02,30.62,21.25,56.96
2023-09-18,22.45,6.3,11.84,7.97,19.3,6.32,18.17,16.88,17.0,34.85,66.16,41.26,51.2,32.15,37.31,31.13,21.32,54.61
2023-09-19,22.67,6.31,11.87,7.99,19.31,6.28,18.23,16.47,16.53,34.56,65.62,41.42,51.05,31.91,37.63,31.24,21.32,54.02
2023-09-20,22.79,6.26,11.84,7.97,19.41,6.25,18.21,16.28,16.03,33.98,65.35,41.34,50.61,31.4,37.63,31.07,21.25,53.6
2023-09-21,24.14,6.2,11.7,7.89,19.49,6.24,18.27,16.08,16.06,33.58,65.62,41.09,50.61,31.09,38.41,31.02,21.32,53.43
2023-09-22,24.92,6.16,12.03,8.11,19.55,6.33,18.44,16.42,16.16,34.67,65.62,41.34,50.54,31.79,38.54,31.18,21.32,55.11
2023-09-25,25.21,6.16,11.78,8.03,19.69,6.06,18.16,16.76,15.9,33.77,64.81,41.17,49.8,30.97,38.59,31.13,21.32,54.52
2023-09-26,25.01,6.09,11.67,7.92,19.37,6.05,18.19,17.3,15.87,34.37,66.43,41.17,49.14,30.85,38.77,31.18,21.1,59.74
2023-09-27,24.69,6.13,11.87,7.95,19.18,6.1,18.15,17.95,16.71,35.37,65.35,41.17,49.36,31.13,38.59,30.9,21.03,60.41
2023-10-20,24.05,5.59,10.81,7.33,18.67,5.48,17.66,18.3,16.16,28.87,62.66,38.88,47.6,30.07,37.21,29.1,20.17,55.87
2023-10-23,23.31,5.45,10.64,7.25,18.55,5.46,17.27,18.28,16.1,27.94,61.85,38.23,46.87,29.6,37.17,28.48,19.52,53.77
2023-10-24,23.47,5.59,10.73,7.28,18.57,5.46,17.85,18.38,16.19,28.93,62.39,39.05,47.23,29.91,37.63,29.1,20.31,54.52
2023-10-25,23.4,5.69,10.9,7.36,18.96,5.47,18.87,18.41,16.51,29.09,63.47,39.54,47.89,30.42,37.58,29.55,20.6,55.53
2023-10-26,23.11,5.77,10.91,7.41,18.96,5.56,18.79,18.8,16.53,29.22,63.2,40.03,48.41,30.89,38.36,29.72,20.6,56.71
2023-10-27,24.05,5.88,11.01,7.55,19.0,5.54,18.86,19.19,16.8,29.43,63.47,40.85,49.0,31.17,38.32,29.89,20.82,56.71
2023-10-30,25.19,6.03,10.88,7.43,18.98,5.41,19.36,19.19,16.98,29.31,63.47,40.19,49.66,31.32,36.85,29.89,20.74,57.05
2023-10-31,25.64,6.05,10.94,7.3,19.08,5.38,19.23,18.44,18.34,29.03,63.47,40.36,49.66,31.21,37.08,30.06,20.89,57.89
2023-11-01,25.46,5.95,10.84,7.26,18.87,5.32,19.36,18.21,18.41,28.94,63.74,40.44,49.58,31.09,37.21,29.95,20.96,58.4
2023-11-02,25.72,5.94,10.77,7.23,19.06,5.33,19.15,17.73,18.16,28.63,63.2,40.52,49.29,30.62,37.26,29.78,20.96,57.64
2023-11-03,25.76,5.91,10.76,7.32,19.16,5.3,19.49,18.21,18.32,29.43,63.74,40.11,49.29,31.17,36.89,29.78,20.96,58.9
2023-11-06,25.85,5.9,10.95,7.34,18.89,5.34,19.78,18.83,18.81,30.25,64.28,40.27,49.36,31.56,36.2,30.17,21.1,58.98
2023-11-07,25.4,5.83,10.81,7.26,18.79,5.32,19.88,18.67,18.52,30.15,64.54,40.27,49.0,31.64,36.85,30.06,22.04,60.67
2023-11-08,24.6,5.8,10.8,7.23,18.89,5.31,19.61,18.61,18.41,29.92,64.01,40.19,48.7,31.48,37.12,29.83,24.26,62.85
2023-11-09,24.76,5.84,10.84,7.3,18.83,5.31,19.53,18.46,18.24,29.8,63.74,40.11,48.48,31.25,37.44,29.61,24.4,61.42
2023-11-10,25.16,5.78,10.68,7.17,18.94,5.29,19.23,18.53,18.2,29.4,62.93,40.36,48.41,31.32,37.31,30.68,22.11,61.26
2023-11-13,24.3,5.81,10.81,7.25,18.98,5.37,19.58,18.82,18.77,29.87,64.01,40.44,48.7,31.95,37.21,30.34,22.61,62.52
2023-11-14,24.62,5.81,10.86,7.26,18.96,5.37,19.9,18.95,18.6,30.13,64.28,40.27,48.78,31.91,37.21,30.4,22.83,64.37
2023-11-15,24.53,5.83,10.88,7.32,19.06,5.4,19.91,18.73,18.74,30.76,64.28,40.36,48.92,31.99,37.03,30.68,22.25,64.45
2023-11-16,24.57,5.83,10.79,7.26,19.02,5.35,19.71,18.6,18.46,30.15,64.28,40.11,48.63,31.95,37.26,31.02,21.82,65.04
2023-11-17,24.62,5.84,10.73,7.26,18.92,5.34,19.93,18.7,18.38,30.12,64.28,39.95,48.85,32.11,37.26,30.85,21.89,64.2
2023-11-20,24.07,5.95,10.73,7.29,18.87,5.31,20.19,19.23,18.68,30.33,65.08,39.87,49.44,32.34,36.98,30.79,21.89,64.37
2023-11-21,24.59,5.95,10.75,7.29,19.02,5.3,20.1,19.21,18.39,29.95,65.62,40.27,49.58,31.99,37.12,30.85,22.04,63.44
2023-11-22,24.76,5.94,10.64,7.22,18.92,5.23,19.82,18.08,18.22,29.28,65.08,41.67,49.66,31.87,37.35,30.9,21.61,62.35
2023-11-23,24.89,5.95,10.66,7.26,19.2,5.26,20.15,18.31,18.23,29.54,65.62,41.83,49.95,32.19,37.12,31.02,21.82,63.36
2023-11-24,24.2,5.94,10.6,7.19,19.26,5.24,19.83,17.6,17.91,28.74,65.89,41.99,49.58,31.76,37.21,30.96,21.82,62.77
2023-11-27,24.23,5.94,10.43,7.11,19.31,5.14,20.01,17.32,18.27,29.05,65.89,41.83,49.88,31.68,36.8,31.13,21.96,63.28
2023-11-28,23.77,5.81,10.42,7.13,19.12,5.13,20.59,17.38,18.27,29.24,66.7,41.83,49.73,31.68,36.76,31.13,21.75,64.03
2023-11-29,23.72,5.74,10.23,7.07,19.24,5.06,20.53,17.55,18.17,28.78,66.7,41.83,49.36,31.4,36.76,31.13,21.68,64.03
2023-12-08,22.31,5.69,10.31,7.08,19.39,5.06,19.39,16.99,17.21,27.93,64.54,41.58,48.78,30.58,38.36,30.73,21.17,67.23
2023-12-11,22.33,5.69,10.31,7.17,19.51,5.07,19.63,17.19,17.53,28.56,65.89,42.24,49.29,31.01,39.28,31.07,21.39,66.81
2023-12-12,21.78,5.69,10.42,7.17,19.73,5.05,19.73,16.75,17.38,28.91,66.96,42.4,49.51,31.32,39.74,31.24,21.17,65.46
2023-12-13,20.69,5.53,10.27,7.11,19.63,4.99,19.81,16.62,17.35,28.44,66.7,42.32,49.36,32.5,40.61,31.3,21.17,64.79
2023-12-14,20.71,5.52,10.27,7.07,19.73,5.0,19.64,16.54,17.19,28.41,66.16,42.24,49.36,32.31,41.67,31.35,21.39,65.3
2023-12-15,20.55,5.48,10.26,7.02,19.59,4.97,19.35,16.32,17.09,28.09,66.16,41.83,48.85,32.31,39.55,31.02,21.03,64.87
2023-12-18,22.61,5.4,10.15,6.97,20.76,4.93,19.18,16.11,16.94,27.55,65.35,42.08,48.33,31.79,39.51,31.02,22.68,63.44
2023-12-19,22.2,5.35,10.08,6.95,20.68,4.87,19.27,16.2,17.0,27.88,64.81,41.67,48.19,31.72,39.33,30.51,22.04,63.53
2023-12-20,23.0,5.27,10.05,6.91,20.56,4.83,19.05,15.88,17.0,27.35,64.01,41.34,47.89,31.13,39.23,30.4,21.39,62.85
2023-12-21,22.54,5.33,10.13,7.0,20.62,4.85,19.15,16.16,17.06,27.66,63.74,41.26,48.11,31.56,38.82,30.34,21.53,63.28
2023-12-22,22.58,5.33,10.2,7.08,20.91,4.83,18.92,16.17,17.11,27.3,63.2,41.09,47.82,31.91,38.91,30.28,22.04,61.68
2023-12-25,21.72,5.35,10.16,7.11,20.09,4.9,18.88,16.03,17.09,27.15,62.66,40.6,47.6,32.27,39.0,30.85,21.03,61.85
2023-12-27,22.35,5.27,10.26,7.1,19.94,4.94,18.85,15.99,16.8,27.01,62.93,40.19,46.65,32.27,39.46,29.5,20.17,61.68
2023-12-28,21.67,5.4,10.41,7.18,19.74,5.0,19.4,16.82,17.39,27.96,63.2,40.19,47.67,33.56,38.59,29.83,20.24,64.37
2024-01-02,22.74,5.34,10.34,7.18,20.21,5.02,19.88,16.62,18.14,29.11,64.01,40.36,47.01,34.46,39.42,30.23,20.53,67.74
2024-01-03,23.2,5.33,10.41,7.21,20.33,5.03,19.76,16.43,17.64,28.93,63.47,40.6,47.31,34.42,40.2,30.45,20.31,67.65
2024-01-04,23.16,5.22,10.35,7.17,20.66,4.98,19.54,16.25,17.7,28.36,63.2,40.85,47.01,33.76,40.56,30.57,20.38,67.23
2024-01-05,22.72,5.19,10.43,7.13,20.54,4.97,19.23,15.79,17.24,27.85,62.66,40.6,46.72,33.01,40.47,30.34,19.74,66.14
2024-01-08,23.11,5.1,10.2,7.07,20.44,4.85,18.81,15.0,16.89,26.87,61.85,39.78,45.99,32.54,40.75,29.72,19.31,64.54
2024-01-09,22.24,5.19,10.24,7.14,19.92,4.91,19.01,15.5,17.04,26.63,62.12,40.11,46.43,33.17,41.07,30.06,19.52,64.54
2024-01-10,21.92,5.16,10.2,7.11,19.18,4.91,18.97,15.55,16.7,26.32,61.85,39.78,46.35,33.36,40.89,29.95,19.38,63.36
2024-01-11,22.15,5.2,10.19,7.1,19.08,4.92,19.19,16.15,16.77,26.02,62.39,39.78,46.43,35.37,40.29,29.89,19.6,64.96
2024-01-12,23.18,5.27,10.23,7.22,19.47,5.0,19.07,16.02,16.91,27.45,62.39,39.62,46.72,35.29,40.84,30.06,19.6,63.61
2024-01-15,25.05,5.29,10.26,7.32,20.11,5.0,18.92,15.7,16.64,27.17,62.12,39.29,47.23,35.25,41.16,30.0,19.81,63.78
2024-01-16,24.96,5.37,10.3,7.32,19.94,5.06,18.87,16.13,16.67,26.93,62.12,38.56,48.04,36.54,41.44,30.0,19.45,63.28
2024-01-17,23.8,5.23,10.16,7.25,19.55,4.95,18.35,15.32,15.76,25.88,61.05,37.74,47.45,34.46,41.21,29.38,19.02,61.85
2024-01-18,24.44,5.24,10.08,7.29,19.57,4.86,17.91,15.38,15.43,25.79,59.97,36.92,47.31,35.09,40.89,28.6,18.81,60.16
2024-01-19,23.63,5.26,10.06,7.21,19.59,4.83,17.75,14.93,15.53,25.28,59.7,37.0,46.79,33.88,40.93,28.37,18.66,59.07
2024-01-22,22.68,5.12,9.89,7.13,19.25,4.65,16.71,13.19,14.18,23.9,57.01,35.28,44.81,31.83,40.33,26.74,17.73,53.26
2024-01-23,22.88,5.15,9.87,7.06,19.49,4.63,16.27,13.6,14.42,24.13,57.82,35.85,45.47,31.87,40.33,26.74,17.66,53.01
2024-01-24,23.5,5.27,10.61,7.37,19.98,4.83,16.33,13.28,14.67,24.96,59.7,37.08,46.87,35.05,40.84,27.81,18.3,54.27
2024-01-25,24.21,5.41,11.51,7.75,20.62,5.37,17.4,13.58,15.1,29.64,61.32,37.98,47.75,37.09,40.52,28.71,18.73,56.96
2024-01-26,24.18,5.48,11.54,7.73,20.93,5.26,17.12,13.07,14.77,28.35,61.85,39.13,48.33,36.9,41.62,29.61,19.16,56.38
2024-01-29,24.43,5.42,11.81,7.88,20.85,5.4,16.36,12.45,14.21,30.07,60.78,38.96,48.41,36.54,41.8,29.16,18.95,55.03
2024-01-30,23.88,5.31,12.02,7.82,20.56,5.27,15.66,12.26,13.72,28.09,59.17,38.23,46.57,35.99,41.76,29.66,18.23,53.26
2024-01-31,23.43,5.19,11.73,7.78,20.42,5.31,14.74,11.6,13.1,25.9,57.28,37.49,45.4,36.07,41.94,27.53,17.59,49.81
2024-02-01,22.99,5.09,11.26,7.7,20.31,5.18,14.55,11.44,12.79,24.73,56.21,37.57,44.74,34.39,41.99,27.3,17.15,48.63
2024-02-02,22.65,5.05,11.28,7.73,20.21,5.17,13.75,10.77,11.98,24.82,55.13,36.43,44.45,34.78,42.9,26.4,16.44,45.86
2024-02-05,21.62,5.01,10.91,7.82,20.27,4.98,12.07,9.83,11.07,20.92,52.17,35.36,44.08,31.64,44.74,24.54,14.86,40.39
2024-02-06,22.1,5.2,11.31,8.03,20.6,5.15,12.19,10.37,11.74,22.04,54.32,37.82,46.43,32.11,43.87,25.5,14.64,40.56
2024-02-07,22.93,5.2,11.44,8.01,20.62,5.19,11.96,11.08,11.92,21.49,53.79,38.96,49.0,33.17,43.87,25.27,13.71,38.29
2024-02-08,23.18,5.24,11.43,8.06,20.64,5.27,13.3,12.45,13.55,24.13,55.67,39.46,49.14,34.5,43.59,26.51,14.79,42.83
2024-02-19,24.96,5.27,11.61,8.14,21.09,5.29,13.8,11.77,13.42,24.57,56.48,39.78,47.97,35.88,44.51,26.91,15.29,44.43
2024-02-20,25.1,5.24,11.55,8.19,21.19,5.23,13.86,11.79,13.73,24.74,56.21,39.78,47.67,35.56,45.47,26.85,15.22,45.18
2024-02-21,24.89,5.35,11.91,8.27,21.48,5.29,14.22,11.87,13.94,25.17,56.74,39.54,47.89,38.0,45.38,27.08,15.58,46.19
2024-02-22,25.14,5.38,11.95,8.3,22.02,5.32,14.57,12.16,14.26,25.52,57.01,39.54,48.11,38.15,45.98,27.13,15.79,48.13
2024-02-23,24.37,5.33,11.93,8.26,22.08,5.27,15.13,12.34,14.27,25.64,57.82,39.54,47.82,38.15,45.34,27.36,16.08,49.73
